vendor_name,cost_usd,row_index
Salesforce Uk Ltd-Uk,3117226.0,2
Navan (Tripactions Inc),357984.0,3
Bdo Llp,343081.0,4
Tog Uk Properties Limited,263821.0,5
Cloudcrossing Bvba,208675.0,6
Zagrebtower D.O.O.,183754.0,7
Innovent Spaces Private Limited,147348.0,8
Weking D.O.O.,144093.0,9
Jensten Insurance Brokers,142700.0,10
Gpt Space & Co,133507.0,11
Aetna Life And Casualty Ltd,124661.0,12
Rsm Uk Corporate Finance Llp,117078.0,13
Amazon Web Services Llc,106399.0,14
Telefonica Global Services Gmbh,89880.0,15
Hr Solution International Gmbh,80823.0,16
4I Advisory Services,71860.0,17
Bisley Law Ltd,67414.0,18
Infosys,66570.0,19
Big Frontier Pty Ltd (Cult Of Monday),66131.0,20
Harmonic Group Limited,65418.0,21
Wework Singapore Pte. Ltd.,64373.0,22
Cloud Technology Solutions Ltd,60661.0,23
"Navan, Inc",57929.0,24
Tmforum,57560.0,25
Linkedin Ireland Limited,55573.0,26
Kimble Applications Ltd,52825.0,27
Sage Uk Limited,46895.0,28
Grant Thornton,46539.0,29
"SveuÃ¤ÂIliÃ¥Â¡Te U Zagrebu, Studentski Centar",44299.0,30
Ss&C Intralinks Inc,39966.0,31
Veniture D.O.O.,39342.0,32
Accutrainee Limited,38841.0,33
Mason Frank International Ltd,38148.0,34
"Houlihan Lokey Advisors, Llc",37461.0,35
Vector Capital Management Lp,32427.0,36
Hubspot Ireland Limited,32187.0,37
Nefron - Obrt Za Poslovne Usluge,30614.0,38
"Planful, Inc.",27741.0,39
Cognism Limited,27013.0,40
Uberflip,26091.0,41
Agram Life Osiguranje D.O.O.,24952.0,42
Google Ireland Limited,24798.0,43
Zuric I Partneri Odvjetnicko Drustvo D.O.O.,24135.0,44
Care Health Insurance Company Limited,24045.0,45
New Star Networks(Nsn),23887.0,46
Bupa- Supplier,22800.0,47
Shree Info System Solutions Pvt Ltd,22275.0,48
Technet It Recruitment,21952.0,49
Mightyhive Ltd,19042.0,50
Cedar Recruitment Ltd,18537.0,51
Eurofast International Ltd-Greec,18164.0,52
Hrvatski Telekom D.D.,18084.0,53
Sodexo Svc India Private Limited,17810.0,54
Peakon Aps,17108.0,55
Plus Your Business Ltd,17074.0,56
Benefit Systems D.O.O.,16900.0,57
Smart Group Services D.O.O.,16438.0,58
Jones Lang Lasalle (Nsw) Pty Ltd,16274.0,59
"Workato, Inc.",16101.0,60
Konzum Plus D.O.O.,15684.0,61
Westbrook Advisers,15360.0,62
Work Easy Space Solutions Private Limited,14913.0,63
"Taxstudio, Ltd.",14642.0,64
Pingo D.O.O.,14508.0,65
Magazin Raunalni Sistemi D.O.O.,13870.0,66
Tp Prime D.O.O.,13785.0,67
Granttree Limited,13659.0,68
Cigna Sg,13249.0,69
Collards Chartered Accountants,12879.0,70
Bupa Australia,12463.0,71
4I Management Consulting Private Limited,12117.0,72
"Grad Zagreb, Gradski Ured Za Prostorno UreÃ¤âEnje,..",11637.0,73
Bijeli Pijesak Obrt Za Poslovno Savjetovanje,11605.0,74
Ramiro D.O.O.,11516.0,75
Visalogic Limited,11241.0,76
Poles Ltd - Hanbury Manor,10488.0,77
Shoff Darby Companies,10100.0,78
Emerge Development Consultancy Ltd,10046.0,79
Performancepro,10018.0,80
Microsoft Ireland Operations Limited,9822.0,81
Catering Muring,9603.0,82
Omonia D.O.O.,9559.0,83
Outreach Corporation,9206.0,84
Cbre Limited,8395.0,85
Studentski Centar - Split,8269.0,86
The Guardian,8070.0,87
Intertrust Singapore Corporate Services Pte Ltd - Csc,7360.0,88
Goto Technologies Uk Limited,7316.0,89
Hrsolution International Ag,6987.0,90
Trello,6674.0,91
Obrt Sjaj Sunca,6596.0,92
TelefÃ£Â³Nica Compras ElectrÃ£Â³Nicas S.L.,6157.0,93
Allianz Australia Workers' Compensation (Victoria) Limited,6099.0,94
Icici Lombard Gic Ltd,5972.0,95
Mosaic Concept D.O.O.,5731.0,96
Limes Plus D.O.O.,5624.0,97
Mercer Limited,5444.0,98
Acclime Corporate Services,5413.0,99
Green Commute Initiative,5402.0,100
Tattu Manchester Limited,5366.0,101
Athlete Service Ltd,5285.0,102
Amazon Web Services Inc.,5153.0,103
Telemach Hrvatska D.O.O.,5134.0,104
"Acclime Usa, Inc",4995.0,105
Centar Za Sigurnost D.O.O.,4991.0,106
Profi Bar D.O.O.,4917.0,107
Pricewaterhousecoopers Llp,4879.0,108
Pinnacle Partnership Ca,4836.0,109
The Virtual Legal Counsel Ltd,4800.0,110
Australian Payroll Professionals Pty Ltd,4399.0,111
Inter Continental Chennai Mahabalipuram Resort,4393.0,112
Jetbrains S.R.O.,4083.0,113
Crowe Horwath Revizija D.O.O.,4062.0,114
Puducherry Backwater Resort Private Limited,4056.0,115
Orionw Llc,4025.0,116
Adobe Systems Software,3929.0,117
"Common Desk, Llc",3842.0,118
Hep Elektra D.O.O.,3735.0,119
Zivi Napitak D.O.O.,3700.0,120
Gym4You D.O.O.,3692.0,121
Aha! Labs Inc,3689.0,122
Apple Retail Uk Ltd,3548.0,123
"Kryterion, Inc.",3541.0,124
Npm Inc,3535.0,125
Pinsent Masons Mpillay Llp,4078.0,126
Calm Achiever(A Unit Of Mohsin Ali Vakil),4071.0,127
Pluxee India Private Limited,3994.0,128
OÃ¢â¬â¢Donnell Salzano Lawyers,3955.0,129
Papertrail Inc,3900.0,130
Sniper Systems And Solutions Private Limited,3899.0,131
Trocadero (London) Hotel Ltd,3868.0,132
Semrush Inc,3730.0,133
Golubica Parking D.O.O.,3726.0,134
Vodafone (Australian),3672.0,135
Ikea Hrvatska D.O.O.,3610.0,136
Orcola D.O.O.,3545.0,137
Info Edge India Limited,3536.0,138
Grad Split,3483.0,139
T-Mobile,3357.0,140
Akton D.O.O.,3254.0,141
Bureau Veritas Croatia D.O.O.,3200.0,142
Cici Prudential Life Insurance Co. Ltd.,3195.0,143
Ncc Services Limited,3036.0,144
Smartsheet Inc.,2995.0,145
Good Game Global D.O.O.,2954.0,146
GaraÃ¥Â¾A Firule D.O.O.,2930.0,147
Crossland,2924.0,148
It London,2838.0,149
Terrapinn Holdings Ltd,2838.0,150
Elemental Life Solutions Llp,2807.0,151
United Flow Ltd (The Goodness Project),2744.0,152
Mcburneys Charted Accountants,2711.0,153
Cleverland Winery Resort,2663.0,154
Ag Grid Ltd,2653.0,155
Lusha,2606.0,156
My Foodiverse Llp,2489.0,157
4Imprint Direct Ltd,2436.0,158
City Pantry Ltd,2419.0,159
Stipe Piric,2302.0,160
Office Move London,2293.0,161
Pink Ribbon Shop,2251.0,162
Starhub Ltd (Supplier),2205.0,163
N S Shastri And Co,2194.0,164
John Smith,2163.0,165
Fabiola Thistlewhaite,2154.0,166
Hp Inc Uk Limited,2136.0,167
Cision Pr Newswire,2110.0,168
George Anchor,2107.0,169
"Yoxel, Inc",2044.0,170
Grt Hotels And Resorts P Ltd,2032.0,171
Apple Pty Ltd,2031.0,172
Slack Technologies Limited,1989.0,173
G S Notary Public Limited,1935.0,174
Apple Distribution International Ltd,1913.0,175
Porezno SavjetniÃ¥Â¡Tvo Tuk D.O.O.,1813.0,176
Susan Lee,1762.0,177
Ansar Madovic,1732.0,178
"Radius Group, Inc",1723.0,179
Aquila Remete D.O.O.,1706.0,180
Clime India Private Limited,1678.0,181
"Golden Mean, Inc",1659.0,182
Paint & Fun Vl. Martina Milkova Nikolova,1654.0,183
Carrington Communications,1654.0,184
Crayond Digital Private Limited,1646.0,185
Studentski Centar Karlovac,1549.0,186
Lajnap Comedy Booking D.O.O.,1536.0,187
British Telecommunications,1493.0,188
Etm Concessions Ltd,1419.0,189
Radisson Grt - Unit Of Hotels & Resorts Pvt Ltd,1406.0,190
Ariba Inc,1363.0,191
Chamiers Recreation Club,1338.0,192
Quadrant Law Llc,1327.0,193
Docusign,1308.0,194
Inside Edge Novated Leasing,1287.0,195
Rhea D.O.O.,1253.0,196
P S Recreation Club,1219.0,197
Fastspring,1179.0,198
Dsv Solutions A/S,1162.0,199
Curzon Green Solicitors,1158.0,200
Icare Nsw,1150.0,201
Thomas Mansfield Solicitors Limited,1135.0,202
Amazon.Co.Uk,1107.0,203
Backoffice Associates,1080.0,204
Oladi D.O.O.,1064.0,205
Integrated Personnel Services,1054.0,206
MÃ£Åller Trgovina Zagreb D.O.O.,1051.0,207
Lunch Nutrition D.O.O.,1012.0,208
Winmaxi Tours & Travels,1001.0,209
Digitalna Produkcija J.D.O.O.,993.0,210
Computershare-Caboodle Technology Limited,981.0,211
Allianz Wa,971.0,212
Trending Technology Services Gmbh,961.0,213
"Godaddy.Com, Llc",923.0,214
Time Out Group,920.0,215
Raiffeisenbank Austria D.D.,920.0,216
Galop-Prijevoz D.O.O.,908.0,217
Lane Ip Limited,851.0,218
Urbani Eventi D.O.O.,851.0,219
Smashing Media Ag,850.0,220
Epignosis Llc,833.0,221
Croatia Airlines,832.0,222
Bb Football Scouting J.D.O.O.,823.0,223
Boe Croatia D.O.O.,814.0,224
Potomac D.O.O.,806.0,225
"President Hotel And Tower Co., Ltd",803.0,226
Friends Sports Club,797.0,227
The Cycle Gap Adyar,765.0,228
Apple - Amer,764.0,229
Klg - Kalra Legal Group,681.0,230
Kilgannon & Partners Llp,681.0,231
Uk Postbox Limited,670.0,232
Catering IviÃ¤â¡ D.O.O.,669.0,233
Blink Events,664.0,234
Grafo-Jan,662.0,235
Mesa Verde,662.0,236
Pixsy Inc,613.0,237
Dun & Bradstreet D.O.O.,610.0,238
Induslaw,596.0,239
Trans-Agram Obrt Za Dostavu,581.0,240
Landu Law Solicitors,568.0,241
Arena Center Zagreb D.O.O.,567.0,242
Obrt Za Ugostiteljstvo Mirakul,565.0,243
Oakberry Jr D.O.O.,535.0,244
Tau On-Line D.O.O.,534.0,245
Magic Mountain Saloon,524.0,246
Hotel Zonar,523.0,247
Roto Dinamic D.O.O.,512.0,248
Tm Forum,510.0,249
Marvie Hotel - Krupa D.O.O.,502.0,250
Merchandise Ltd,490.0,251
Yellow Submarine D.O.O.,486.0,252
Streamlinereforms Inc,483.0,253
Make And Grow Ltd,483.0,254
Obiteljski Hoteli D.O.O.,474.0,255
Rudan D.O.O.,473.0,256
Entrio Tehnologije D.O.O.,473.0,257
Vivat Fina Vina D.O.O.,467.0,258
"Figma, Inc.",460.0,259
E-Disti D.O.O.,458.0,260
Greencell Express Private Limited,457.0,261
Edwardian Pastoria Hotels Ltd (The Londoner),433.0,262
Tiganda J.D.O.O.,432.0,263
"Franklin, Gringer & Cohen, P.C.",427.0,264
Blitz - Cinestar D.O.O.,426.0,265
Lancefield Bus Service,412.0,266
Super OdrediÃ¥Â¡Te D.O.O.,378.0,267
Pmi Global Operations Center,378.0,268
Student Packers & Movers,371.0,269
Del Posto D.O.O.,364.0,270
Inicijativa Centar Za Edukaciju,358.0,271
Niva Transport J.D.O.O.,358.0,272
Doctor Anywhere Operations Pte Ltd,347.0,273
Spar Hrvatska D.O.O.,341.0,274
Pepe'S Italian And Liquor,339.0,275
"Pluralsight, Llc",318.0,276
Maniax Melbourne Cbd,315.0,277
Dnsimple,312.0,278
Treci Posao D.O.O.,307.0,279
Gaucho Restaurants,302.0,280
Formswift,301.0,281
Safestore Ltd,287.0,282
Split Tech City,284.0,283
National Securities Depository Limited(Nsdl),281.0,284
Adamma Info Services Private Limited,273.0,285
The Riding House Cafe,265.0,286
Stillmark Zagreb D.O.O.,263.0,287
Lastpass Ireland Limited,263.0,288
Taste Of Health,259.0,289
Infodata,241.0,290
Amazon (Aus),233.0,291
Regency Hampers Ltd,248.0,292
Bella Operation A/S,241.0,293
The Plant Man,235.0,294
Media Promo Plus D.O.O.,226.0,295
Expert-Ing D.O.O.,225.0,296
Atlassian Pty Ltd,224.0,297
Djs For U,220.0,298
Freepik Company,203.0,299
Nastavni Zavod Za Javno Zdravstvo Dr. Andrija Ã Tampar,199.0,300
Rishi Events And Entainment,198.0,301
Kosmaz Technologies Croatia,195.0,302
Dhl,191.0,303
Hotel Laguna D.D.,190.0,304
Bigshare Services Private Limited,188.0,305
Zettanet,183.0,306
Hahn Air,183.0,307
Vitality Works,182.0,308
Avoxi Inc,178.0,309
Zapier Inc.,167.0,310
"Solarwinds, Inc",166.0,311
Xenon Savjetovanje D.O.O.,164.0,312
Floom Ltd,162.0,313
Notino S.R.O.,161.0,314
"Paint&Wine, Vl. Stevo Dosen",159.0,315
Parcelforce Worldwide,155.0,316
Advena,154.0,317
Hrvatski Nezavisnici Izvoznici Softvera,154.0,318
Monile J.D.O.O.,152.0,319
Puzzle Promotion J.D.O.O.,143.0,320
ZagrebaÃ¤ÂKi Holding D.O.O.,143.0,321
Event Ors,143.0,322
Sportkart D.O.O.,141.0,323
"Interaction Design Foundation, Inc",138.0,324
(Blank),137.0,325
Escape Art D.O.O.,133.0,326
Fero-Term,131.0,327
Ustanova Za Zdravstvenu Skrb P.P.,131.0,328
Vistaprint,130.0,329
Teb Poslovno Savjetovanje D.O.O.,129.0,330
Illunis D.O.O.,128.0,331
The Cook Kitchen,123.0,332
Australian Taxation Office (Ato),123.0,333
Capitol Services,120.0,334
Bonus Opinio D.O.O.,120.0,335
Dhl Express (Uk) Ltd,119.0,336
Kat'S Kitchen D.O.O.,119.0,337
Soho Kitchen Ltd,104.0,338
Fortis Trade J.D.O.O.,95.0,339
Till Trade D.O.O.,93.0,340
Pret A Manger,92.0,341
Axil Coffee Roasters,89.0,342
Pepco Croatia D.O.O.,89.0,343
Lemia D.O.O.,88.0,344
Retriever Llc,88.0,345
Meluba Limited,88.0,346
London Waste Management,86.0,347
Hilton Garden Inn - Zagreb City Hotels D.O.O.,82.0,348
Lider Media D.O.O.,80.0,349
Uptime Robot Service Provider Ltd,78.0,350
Mithras Consultants,77.0,351
